name,bio,followCount,followingCount,isVerified,likesCount,videoCount,videoID,musicID,description,hashtags,numViews,numComments,numLikes,numShares,text,numLikes_1,numReplies,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
nataliejanesings,"WHERE AM I out now!!
Tour tickets⬇️⬇️","8,847,399",471,True,"288,266,675",1804,7299501987178024235,7299253300283722539,WHERE AM I COMES OUT NOVEMBER 17 AHHH #WOOHOO,['woohoo'],"168,638",717,193,116,PRESAVE NOW!!!!,193,5,1,19,12.74,3.34,99,99,9.5,15.79,84.21,73.68,52.63,10.53,10.53,10.53,0,0,0,0,0,0,0,5.26,10.53,10.53,21.05,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05,26.32,0,5.26,26.32,0,0,0,15.79,0,26.32,0,15.79,5.26,10.53,5.26,0,57.89,0,0,0,31.58,10.53,15.79,10.53
nataliejanesings,"WHERE AM I out now!!
Tour tickets⬇️⬇️","8,847,399",471,True,"288,266,675",1804,7299501987178024235,7299253300283722539,WHERE AM I COMES OUT NOVEMBER 17 AHHH #WOOHOO,['woohoo'],"168,638",717,184,116,I’m actually obsessed with Intrusive Thoughts I actually have listened to nothing but that song for the past week,184,4,1,36,19.76,1,99,93.93,18,25,91.67,77.78,58.33,13.89,11.11,11.11,0,0,0,0,2.78,5.56,2.78,2.78,13.89,11.11,13.89,2.78,2.78,16.67,2.78,2.78,0,0,0,0,16.67,2.78,13.89,5.56,0,0,0,5.56,2.78,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,22.22,2.78,2.78,13.89,0,5.56,0,11.11,5.56,13.89,0,8.33,2.78,5.56,2.78,0,22.22,0,0,0,5.56,8.33,8.33,5.56
nataliejanesings,"WHERE AM I out now!!
Tour tickets⬇️⬇️","8,847,399",471,True,"288,266,675",1804,7299501987178024235,7299253300283722539,WHERE AM I COMES OUT NOVEMBER 17 AHHH #WOOHOO,['woohoo'],"168,638",717,150,116,it’s fr a whole emotional journey,150,1,1,23,23.51,5.93,99,99,11.5,17.39,82.61,73.91,47.83,13.04,8.7,8.7,0,0,0,0,4.35,4.35,4.35,4.35,8.7,13.04,13.04,0,0,17.39,8.7,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04,8.7,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04,21.74,0,4.35,21.74,0,0,0,8.7,0,21.74,0,13.04,4.35,8.7,4.35,0,34.78,0,0,0,8.7,13.04,13.04,8.7
nataliejanesings,"WHERE AM I out now!!
Tour tickets⬇️⬇️","8,847,399",471,True,"288,266,675",1804,7299501987178024235,7299253300283722539,WHERE AM I COMES OUT NOVEMBER 17 AHHH #WOOHOO,['woohoo'],"168,638",717,90,116,I NEED 7 AND 8 SO F*CKING MUCH😍,90,2,1,26,8.56,2.37,99,99,13,7.69,84.62,69.23,50,11.54,11.54,11.54,0,0,0,0,0,3.85,0,11.54,7.69,7.69,15.38,7.69,0,15.38,3.85,3.85,0,0,0,0,3.85,0,3.85,0,0,3.85,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,15.38,19.23,0,3.85,19.23,0,0,0,7.69,0,15.38,0,11.54,3.85,7.69,3.85,0,30.77,0,0,0,7.69,7.69,15.38,11.54
nataliejanesings,"WHERE AM I out now!!
Tour tickets⬇️⬇️","8,847,399",471,True,"288,266,675",1804,7299501987178024235,7299253300283722539,WHERE AM I COMES OUT NOVEMBER 17 AHHH #WOOHOO,['woohoo'],"168,638",717,58,116,so excited to hear these more!,58,0,1,23,14.64,5.93,99,99,11.5,13.04,91.3,78.26,56.52,13.04,8.7,8.7,0,0,0,0,4.35,8.7,0,4.35,13.04,8.7,17.39,4.35,0,17.39,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04,13.04,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04,26.09,0,4.35,21.74,0,4.35,0,8.7,0,17.39,0,13.04,4.35,8.7,4.35,0,34.78,0,0,0,13.04,8.7,13.04,8.7
nataliejanesings,"WHERE AM I out now!!
Tour tickets⬇️⬇️","8,847,399",471,True,"288,266,675",1804,7299177619935972654,7299177704556563242,@Michael Gerow #woohoo,['woohoo'],"254,429",807,290,224,It's longest I ever heard you sing without screaming,290,19,1,20,3.8,15.75,99,99,10,25,80,75,50,20,15,10,0,5,0,0,5,0,0,0,10,10,20,0,0,20,5,5,0,0,0,0,10,5,5,0,0,0,0,0,5,0,15,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,15,0,15,0,10,5,15,0,10,0,10,0,0,45,0,0,0,10,15,20,10
nataliejanesings,"WHERE AM I out now!!
Tour tickets⬇️⬇️","8,847,399",471,True,"288,266,675",1804,7299177619935972654,7299177704556563242,@Michael Gerow #woohoo,['woohoo'],"254,429",807,83,224,THE HARMONY!!!!,83,0,1,13,53.56,7.93,98.89,99,6.5,23.08,69.23,61.54,46.15,7.69,7.69,7.69,0,0,0,0,0,7.69,7.69,0,7.69,7.69,15.38,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,23.08,0,0,15.38,0,7.69,0,7.69,0,15.38,0,15.38,0,15.38,0,0,92.31,0,0,0,46.15,15.38,30.77,15.38
nataliejanesings,"WHERE AM I out now!!
Tour tickets⬇️⬇️","8,847,399",471,True,"288,266,675",1804,7299177619935972654,7299177704556563242,@Michael Gerow #woohoo,['woohoo'],"254,429",807,61,224,"it's not screaming. it's belting and please leave nat alone, she doesn't deserve this",61,0,1,25,1,1.98,35.01,99,8.33,20,76,64,52,20,8,4,0,0,4,0,12,4,0,0,4,16,12,4,8,20,4,0,0,0,0,0,8,0,8,0,0,4,0,0,4,0,8,8,0,0,0,0,0,0,0,0,16,8,4,4,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,4,8,0,4,0,4,0,20,0,8,0,8,0,0,52,4,4,0,8,20,16,8
nataliejanesings,"WHERE AM I out now!!
Tour tickets⬇️⬇️","8,847,399",471,True,"288,266,675",1804,7299177619935972654,7299177704556563242,@Michael Gerow #woohoo,['woohoo'],"254,429",807,41,224,the way she looks at him at the end tho,41,1,1,21,56.86,40.06,84.92,99,10.5,9.52,80.95,71.43,57.14,14.29,14.29,4.76,0,0,9.52,0,0,9.52,9.52,0,14.29,4.76,14.29,4.76,0,9.52,0,0,0,0,0,0,4.76,0,4.76,0,0,0,0,0,4.76,0,9.52,9.52,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,9.52,0,0,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,19.05,0,0,14.29,4.76,0,0,9.52,0,14.29,0,14.29,4.76,9.52,0,0,38.1,0,0,0,9.52,9.52,19.05,9.52
nataliejanesings,"WHERE AM I out now!!
Tour tickets⬇️⬇️","8,847,399",471,True,"288,266,675",1804,7299177619935972654,7299177704556563242,@Michael Gerow #woohoo,['woohoo'],"254,429",807,29,224,Ist es nun warm oder kalt ?,29,0,1,17,46.7,40.06,83.69,99,8.5,11.76,52.94,47.06,29.41,5.88,5.88,5.88,0,0,0,0,0,0,0,0,5.88,5.88,11.76,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,11.76,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,5.88,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,17.65,0,0,11.76,0,0,5.88,5.88,0,11.76,0,11.76,0,11.76,0,0,52.94,0,0,5.88,11.76,11.76,23.53,11.76
